reward,episode_length,success,final_x,final_y,mean_abs_action
-131.98350904705987,150,0,0.5501313209533691,-0.17682580649852753,0.4659065667912364
-60.25350858889471,93,0,-0.27335572242736816,-0.05788392201066017,0.4803807640107729
-261.33069269856793,106,0,1.0062792301177979,1.3850189447402954,0.4653734046754972
-408.7660584681256,106,0,0.840563178062439,0.12077830731868744,0.5453033512546066
-86.3221994527459,77,0,0.4148617684841156,0.009878299199044704,0.5294235857905119
-149.8844970116665,148,0,-0.2000606507062912,-0.0129884984344244,0.5114521783952778
-24.317395077742674,93,0,0.16443471610546112,-0.03805728256702423,0.483712905677416
-374.8833102865133,110,0,-0.742172122001648,-0.04069890081882477,0.5077155206691135
-71.55454572728648,80,0,-0.2792396545410156,-0.03647942841053009,0.5032589210197329
-239.4624933675896,100,0,-1.0028598308563232,0.7620958685874939,0.5102947731688618
-316.8246876127113,78,0,-0.784637451171875,0.07223397493362427,0.5001062187246788
-116.61742165955289,147,0,-0.3132287859916687,-0.07288823276758194,0.5194999365021988
-117.66286006089831,94,0,-0.7418546676635742,-0.22907523810863495,0.49993434544414916
-225.23359464457226,84,0,-0.8398970365524292,0.16681303083896637,0.48803890132833094
-180.4298205590115,76,0,0.6517627835273743,-0.12142888456583023,0.49004837576495974
-366.6804243319464,91,0,1.004116415977478,1.3998876810073853,0.5117051322217826
-247.06995112928857,94,0,1.0009845495224,0.0643208846449852,0.48123809655613087
-412.30179190392784,91,0,-1.0063214302062988,0.3054283857345581,0.4914707332685754
-176.5042719792273,149,0,0.5242053270339966,-0.09960128366947174,0.5070030058815376
-55.64368466469619,117,0,0.11064443737268448,-0.04281966760754585,0.48863374231717527
-349.5035583460483,94,0,-0.7327059507369995,0.2166723608970642,0.49280330760681884
-367.395099736797,121,0,-1.0102123022079468,0.23730626702308655,0.4829189314637795
-54.42720353696699,78,0,0.28026923537254333,-0.057627394795417786,0.49826122113527394
-296.3257140433584,96,0,1.0100059509277344,0.16468550264835358,0.5069732011761516
-267.0970056728364,106,0,-1.0115283727645874,0.4710688591003418,0.5192716601392571
-189.67149954247074,175,0,0.32560205459594727,-0.07329124212265015,0.5183445479827268
-328.37852473808846,89,0,1.0129417181015015,0.7581141591072083,0.4991192531384779
-308.99557494620757,91,0,1.0162105560302734,1.2472821474075317,0.5151135133845466
-51.36341166504576,69,0,-0.38977640867233276,-0.08303449302911758,0.503748304170111
-364.2941451163524,112,0,-0.7177267074584961,0.04388817399740219,0.4859264098506953
-279.0048358362808,102,0,0.6725006103515625,0.1501138061285019,0.5073273601193055
-227.86699776623882,147,0,0.5009018182754517,0.1593308001756668,0.47088444765125004
-336.9917130562437,176,0,1.006391167640686,0.6949717998504639,0.5017332238864831
