rollout_index,seed,total_reward,final_angle_error,mean_abs_angular_velocity,quality_flag
1,20042,-118.60470196344488,0.024852411821484566,0.46389930800709933,1
2,20043,-130.91585316559832,0.024852409958839417,0.5839377968587175,1
3,20044,-1.5618899197078924,0.024852409958839417,0.03936834466091363,1
