rollout_index,seed,total_reward,final_angle_error,final_angular_velocity
1,1042,-1177.1668528164682,1.0672088861465454,1.5919325351715088
2,1043,-1425.4320102701456,2.272308588027954,2.785139322280884
3,1044,-1650.834932300364,2.8053009510040283,-2.9032342433929443
