reward,final_angle_error,mean_abs_angular_velocity,quality_flag
-1318.9868062286957,1.6803162097930908,2.680291036820272,0
-976.7951358178146,1.1110780239105225,3.9363695752061902,0
-1457.3868429835538,2.4586682319641113,2.1097087082173673,0
-1071.6309835312502,1.115368366241455,3.649948792187497,0
-1515.8630550462146,2.3255648612976074,1.7915237855678425,0
-1171.5465948427857,1.0789620876312256,3.5569517498463394,0
-1167.5152129922715,1.4772276878356934,3.4871592688560487,0
-824.203122572663,2.619263172149658,3.678543825857341,0
-1074.4380707051478,0.5712718963623047,3.6484022604953497,0
-1617.7161089321312,2.4503397941589355,1.2869570522551657,0
-979.2638501685395,1.0105750560760498,3.9098855974525213,0
-1635.529615493102,2.450430154800415,1.255820938833058,0
-1185.499015624123,1.4970968961715698,3.270577438026667,0
-1584.691895573717,2.9791500568389893,1.53234062199248,0
-1253.9071256175378,2.8991212844848633,3.0124176888354124,0
-1168.511972315356,1.4661407470703125,3.477268377202563,0
-1175.1942108564224,1.5908676385879517,3.404276651405598,0
-891.9218146784352,0.9779442548751831,4.1454174706153575,0
-883.3742876557056,2.092726230621338,3.8825602677464484,0
-1319.6436551390518,2.2200710773468018,2.7063004515878855,0
-973.0984785065874,0.5673553943634033,3.9468051446415484,0
-868.3839011509264,1.2908092737197876,3.66263746034354,0
-1528.1150883440046,2.368567705154419,1.739433061820455,0
-1693.9355442887377,2.8638336658477783,1.0009163416580122,0
-1397.8470946432278,2.749664545059204,2.341480502542108,0
-972.814845944723,0.9135164022445679,3.8528913297131657,0
-853.170181595867,2.1578774452209473,4.024617657959461,0
-884.6808169550965,1.9650416374206543,3.86476543135941,0
-1071.311579681824,1.0012633800506592,3.6473504946380855,0
-1289.941473341288,2.0570895671844482,2.9273723229579627,0
-1579.383552602242,2.9874942302703857,1.4068108276836575,0
-902.0788664769653,0.8752166032791138,4.277707604062743,0
-1802.6662885201372,2.982025146484375,0.5502575090713799,0
-1349.7458347382253,2.556021213531494,2.543115880964324,0
-1532.8386476535286,3.005722999572754,1.8407882780348883,0
-1288.4147625358723,2.150480031967163,2.9619263407588003,0
-904.5860074821906,1.283189058303833,4.160971844643354,0
-1290.070451261025,2.6889591217041016,2.8895426902384496,0
-1283.6715793041303,2.444915533065796,2.8992865163669923,0
-883.4873648000561,0.5194948315620422,3.9779775072215124,0
-1776.2034490005246,2.7892160415649414,0.6946819010167382,0
