reward,final_position,max_position,success,mean_abs_action
-34.05957195371668,-0.5076812505722046,-0.15425467491149902,0,0.5083187420854114
-32.60284136612582,-0.3214550018310547,-0.23136745393276215,0,0.49434309197357623
-34.66965964687161,-0.7147849202156067,-0.16587920486927032,0,0.513678573249056
-33.75059922511745,-0.588992178440094,-0.21351678669452667,0,0.5033387175153274
-31.934439645303065,0.07505911588668823,0.2639933228492737,0,0.4861888036118487
-32.04112776929988,0.02341032586991787,0.036384254693984985,0,0.4854243960921644
-33.19235630514811,-0.4834166467189789,-0.331575483083725,0,0.5033020756581299
-31.850062270336164,-0.41901373863220215,-0.24680519104003906,0,0.482960946816036
-34.96459849532994,-0.39009547233581543,-0.048993732780218124,0,0.514645840988168
-33.332767070907956,-0.3621625006198883,-0.1919775903224945,0,0.5026324177955898
-32.81387761237379,-0.6825932860374451,-0.2213585525751114,0,0.4920636167673085
-32.53377254288306,0.06523697078227997,0.34990155696868896,0,0.49770401294044386
-32.68624297017466,-0.21123778820037842,-0.11397743970155716,0,0.4927659821393597
-32.946302890793795,-0.4403844475746155,-0.29050469398498535,0,0.4983956205900535
-34.763679933991696,-0.4028542637825012,-0.23762808740139008,0,0.5119926929376718
-33.82022688290692,-0.10190825164318085,-0.1004156619310379,0,0.5063330352959993
-34.10064466150989,-0.8168501257896423,-0.12465300410985947,0,0.5099154060698455
-33.48817897857034,-0.30165907740592957,-0.14673443138599396,0,0.5027566655598757
-32.709930933906165,-0.41856491565704346,-0.17498169839382172,0,0.4920636152949394
-31.577016743305062,-0.6186075210571289,-0.336148738861084,0,0.48233251561549484
-32.29820422534472,-0.4220322370529175,-0.2306034117937088,0,0.49075242394497653
-32.0413273393034,-0.28945595026016235,-0.21160049736499786,0,0.4883452957341409
-33.73582298077987,0.11193787306547165,0.17701609432697296,0,0.5011096958798619
-34.01564392486111,-0.6962357759475708,-0.15808378159999847,0,0.5068598063471973
