rollout_index,seed,total_reward,final_position,max_position,mean_abs_action,success
1,1042,-34.753824942994825,-0.4509623348712921,-0.25008678436279297,0.5152653364436207,0
2,1043,-34.35747917485657,-0.5221829414367676,-0.20734046399593353,0.5075555413943523,0
3,1044,-34.095243576871155,-0.5707895159721375,-0.3542908728122711,0.5044507860179032,0
