rollout_index,seed,total_reward,final_angle_error,final_angular_velocity
1,1042,-874.4374161548002,0.7716345191001892,-1.3066976070404053
2,1043,-1533.8197279280564,2.438251256942749,2.866837978363037
3,1044,-1630.0297796211182,2.769791603088379,4.1214823722839355
