rollout_index,seed,total_reward,final_angle_error,mean_abs_angular_velocity,quality_flag
1,20042,-119.43359747234315,0.10959026962518692,0.4724203691321568,1
2,20043,-129.9785783283469,0.10959026962518692,0.5924755658466194,1
3,20044,-3.6373912347407527,0.10959027707576752,0.039633070670732844,1
