reward,episode_length,successful_landing
9.256594794761753,98,0
-19.781461623435234,83,0
-125.57874019451188,108,0
-206.7046064596127,77,0
-447.1559911036175,101,0
-8.291704455089999,69,0
-84.09491774926876,78,0
-100.36377920104479,85,0
-14.403853563366226,129,0
-288.71046152099575,135,0
-107.22460584440518,86,0
-81.36412262890468,78,0
-191.26954464730943,100,0
-106.0151855533471,77,0
-237.04516596669902,80,0
-51.13367062048677,85,0
-579.4165635167622,128,0
-197.05344612113012,76,0
-69.99343007201475,102,0
-123.23842022098161,107,0
-195.30326934936227,95,0
-187.08359611525538,99,0
-95.43391745028947,85,0
-432.1407210836614,96,0
-98.58522286001727,68,0
-102.4542843926824,133,0
-328.82076351388577,98,0
-74.09483297247195,83,0
-137.81224227954564,94,0
-70.62201565583655,58,0
-183.27314132345657,99,0
-196.218285040426,78,0
-514.8037228971058,136,0
-36.452095623785716,116,0
-119.1341867190188,82,0
-12.630863833070165,85,0
-338.3059406043715,104,0
-71.5833376194641,64,0
-76.90097739705024,114,0
-91.96411576750813,65,0
-153.33496243345382,80,0
-100.80121906226965,99,0
-84.78257341818265,71,0
-122.33532040365115,91,0
-135.9211946049159,83,0
-320.7327052988294,117,0
-245.50264546622103,101,0
-420.1230690488703,103,0
-116.97115971686513,89,0
-137.93391292596368,87,0
-120.94297175013581,70,0
-156.77853343326979,60,0
-373.51194035238996,82,0
-56.415387659314305,99,0
-99.32526801156439,73,0
-255.67466882905362,95,0
-167.3954672194587,83,0
-320.67185462517233,112,0
-12.279992983309626,95,0
-299.9631808054283,96,0
-286.7641682461798,119,0
-73.87522952646134,82,0
2.5648535752910533,95,0
-139.51243054312204,63,0
-388.2908982180065,99,0
-125.97622963507312,80,0
-115.39637005581136,95,0
-225.89830146649672,92,0
-171.4824377126907,88,0
-103.84777121742461,128,0
-2.903039144291199,100,0
-221.442541223916,131,0
-107.13357877091285,72,0
-274.17383829793926,79,0
-201.16499801029877,67,0
-438.36151036846167,116,0
-223.15577752556646,75,0
-198.73815529504355,76,0
-157.1787048702021,80,0
-78.99823336591174,76,0
-95.27877381381286,74,0
-340.2601365045526,64,0
