episode_return,episode_length,success
-34.314194,999,0
-33.705661,999,0
-34.116511,999,0
-34.281054,999,0
-32.771481,999,0
-1.687965,999,0
-0.990884,999,0
-1.003579,999,0
-1.079377,999,0
-1.01854,999,0
-0.974763,999,0
-0.975563,999,0
-1.026761,999,0
-0.976508,999,0
-1.02057,999,0
-0.981766,999,0
-1.025837,999,0
-0.944139,999,0
-0.978651,999,0
-0.978232,999,0
-0.94774,999,0
-0.962341,999,0
-1.098679,999,0
-1.023804,999,0
-0.99047,999,0
-0.976141,999,0
-1.059777,999,0
-0.950321,999,0
-0.89273,999,0
-1.018789,999,0
-1.055917,999,0
-1.035639,999,0
-0.964819,999,0
-1.034562,999,0
-1.116996,999,0
-1.043141,999,0
-0.966592,999,0
-1.068372,999,0
-1.088333,999,0
-1.073153,999,0
-0.965687,999,0
-0.996921,999,0
-1.020632,999,0
-0.994289,999,0
-0.986012,999,0
-1.016121,999,0
-0.959797,999,0
-1.054352,999,0
-0.993619,999,0
-1.099681,999,0
-0.939338,999,0
-1.026923,999,0
-1.03017,999,0
-1.015742,999,0
-1.115288,999,0
-1.056327,999,0
-1.009947,999,0
-1.045224,999,0
-0.908734,999,0
-1.009147,999,0
-0.974939,999,0
-0.964687,999,0
-1.007475,999,0
-0.994948,999,0
-1.022054,999,0
-1.030972,999,0
-1.064066,999,0
-1.074898,999,0
-0.975652,999,0
-1.062131,999,0
-1.068438,999,0
-0.993258,999,0
-0.950737,999,0
-1.047608,999,0
-0.996594,999,0
-1.03512,999,0
-1.027817,999,0
-1.082747,999,0
-1.023612,999,0
-1.032981,999,0
-1.010219,999,0
-1.046524,999,0
-1.007813,999,0
-1.038324,999,0
-1.043198,999,0
-0.990968,999,0
-1.095659,999,0
-1.069179,999,0
-0.953204,999,0
-0.963603,999,0
-0.948286,999,0
-0.946089,999,0
-0.975137,999,0
-0.998121,999,0
-1.070664,999,0
-1.045848,999,0
-0.961595,999,0
-1.086495,999,0
-0.962157,999,0
-1.067198,999,0
-1.088382,999,0
-1.0306,999,0
-0.957764,999,0
-0.973544,999,0
-0.975684,999,0
-1.04579,999,0
-1.075857,999,0
-1.087967,999,0
-1.02837,999,0
-1.034271,999,0
-0.965272,999,0
-1.036803,999,0
-1.061049,999,0
-1.012363,999,0
-1.053629,999,0
-0.962855,999,0
-0.999665,999,0
-0.966723,999,0
-0.934112,999,0
-0.938529,999,0
-1.092438,999,0
-1.019771,999,0
-1.013325,999,0
-1.011134,999,0
-1.016612,999,0
-0.948589,999,0
-1.001178,999,0
-1.109409,999,0
-0.968649,999,0
-1.00855,999,0
-0.957505,999,0
-0.929553,999,0
-0.932505,999,0
-0.992169,999,0
-1.039873,999,0
-1.00371,999,0
-0.949763,999,0
-0.983485,999,0
-1.058019,999,0
-1.052882,999,0
-0.977786,999,0
-0.999993,999,0
-1.012875,999,0
-0.991316,999,0
-0.931589,999,0
-0.998406,999,0
-1.012719,999,0
-1.135309,999,0
-0.981858,999,0
-1.018305,999,0
-1.030931,999,0
-0.935446,999,0
-1.005502,999,0
-0.990035,999,0
-1.010243,999,0
-0.996786,999,0
-0.982504,999,0
-0.990806,999,0
-1.005164,999,0
-1.022185,999,0
-0.972086,999,0
-0.962528,999,0
-0.959586,999,0
-0.972644,999,0
-1.052261,999,0
-1.042392,999,0
-1.024387,999,0
-1.025006,999,0
-0.980914,999,0
-1.026472,999,0
-0.949776,999,0
-1.033712,999,0
-0.987428,999,0
-0.95839,999,0
-1.052073,999,0
-0.907996,999,0
-1.033099,999,0
-0.985595,999,0
-0.966128,999,0
-0.999203,999,0
