rollout_index,seed,total_reward,final_position,max_position,mean_abs_action,success
1,1042,-32.91187003315612,-0.43700510263442993,-0.2457415759563446,0.4931952026678488,0
2,1043,-32.13951029261466,-0.8787208199501038,0.0009271374437958002,0.49026470074786666,0
3,1044,-34.254697993866976,-0.6242712736129761,-0.17719049751758575,0.5102361450580092,0
