reward,episode_length,success
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-422.0,423,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-395.0,396,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-474.0,475,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-383.0,384,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-354.0,355,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-486.0,487,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-321.0,322,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-494.0,495,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-480.0,481,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-486.0,487,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-420.0,421,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-404.0,405,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-489.0,490,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
-500.0,500,0
