rollout_index,seed,total_reward,steps,success,tip_height
1,10042,-1910.068978791655,600,0,-1.4282089590228448
2,10043,-2038.4340070527344,600,0,-1.895379679107266
3,10044,-2030.5434186151904,600,0,-1.8933949475452576
