reward,episode_length,success,final_tip_height,final_theta1_error,final_theta2_error
-1813.2549609166322,600,0,-0.9550531347001355,2.8706337338488193,1.3082990525865097
-1502.2978933398774,600,0,0.2595318356610822,0.4027966512264136,2.694992894252805
-1918.6401461637859,600,0,-1.1439283368648772,2.2418442819496285,0.12171166959496449
-1956.010682791909,600,0,-1.7348881903092797,2.8226832631264585,0.9865085923496639
-1888.9457058106816,600,0,1.2786429009816331,1.2883583041787616,1.2988463294594228
-1970.1217284976185,600,0,-0.2164465775404233,2.03606571630906,2.9106796298264963
-2012.5404022571495,600,0,-1.413095053418462,2.009868310990189,1.286828824294178
-1985.7712112522102,600,0,-1.7180927782872555,2.508264387202543,0.21074020013639227
-1969.2032376216962,600,0,-1.4800484526418298,2.9602579034507484,0.8699633855511423
-1943.6774613272992,600,0,-0.628654705111677,2.49275806280391,2.3885671723797883
-2041.3484136020675,600,0,-1.332890995488775,1.9112366915551982,1.1853806196893748
-1952.1133661993213,600,0,-1.4634752061465095,2.9872409511335793,1.2297705370233167
-2047.9052116838309,600,0,-1.8991294549265327,2.8280281591740133,0.6378164684424182
-1932.4234606320053,600,0,-1.7196969875477457,2.4427092310300855,1.0029195350700513
-1885.0171768284308,600,0,-1.5002488047939484,2.9746275707864225,1.1977391040094192
-1049.8729386535915,600,0,-1.256063467006161,2.3319648640252923,1.7784198936910462
-1899.8158699022033,600,0,-1.0446050293195708,2.501180381929687,0.6851786958811168
-1970.6481924333168,600,0,-0.8972138564540703,1.5171413193737533,1.9393004213671237
-2034.7215772528687,600,0,-1.5915390469514867,2.3269314210986565,0.3762427520914775
-1782.285682842947,600,0,-1.913852091668087,2.73037839351732,0.4858511482012998
-2004.4892156742749,600,0,-1.7435388165452903,2.791585354498138,0.9865281914434809
-2003.8857845624132,600,0,-1.8908846623407949,3.0672858019284686,0.3910886441157845
-2025.0368167088477,600,0,-0.9601682956244113,2.5677547999971235,2.023997238471401
-2024.5206802603846,600,0,-1.992359014697274,3.103259875851928,0.1559281745801181
-1909.714013142897,600,0,-1.2036151972464453,3.119705948687641,1.3873893314118562
-1987.3388033599551,600,0,-1.6917830234997056,2.8468133998767073,0.4504731966214328
-1966.003049535923,600,0,-1.5104747639635625,2.108616850958911,1.092828745476345
-2001.9246607287369,600,0,-1.5610566598197453,2.5844423399670413,1.335189348122868
-1950.9424898067377,600,0,-1.109799091320388,2.9703299306200686,1.617306973167111
-1902.1437365983518,600,0,-1.399499628538598,2.0356585024643765,0.7922396114058156
-1986.326719066129,600,0,-1.2407522738954193,2.3185108738267246,1.7985414394200991
-2010.9303693104234,600,0,-0.8585398109209024,3.016791267551942,1.8296817227524698
-1146.969156630604,600,0,1.8600619333313548,0.14967393798867112,0.6627429422359201
-2038.4453282842412,600,0,-1.7267405827132376,2.5885825053141045,1.0567296182071129
-1969.1191535742628,600,0,-1.3873222538438963,2.428659776051542,0.17518251216677194
-2008.8309904249015,600,0,-1.4739244732667802,2.264318946747697,0.29401877116007613
-1773.5870121122082,600,0,-0.3435049688638221,3.1204545687406005,2.265524969050781
-1937.0937046634924,600,0,-1.6263985909755831,2.7742724683700026,1.1723280971210648
-2031.521949055625,600,0,-1.713749573513906,2.5409035502908774,1.0767582500762143
-2035.1024493935722,600,0,-1.4366481329995897,2.8268478081151813,1.3782941727015698
-1970.270346698524,600,0,-1.2721959729625858,2.935971819970722,1.478780542333162
-1977.9167442143128,600,0,-1.863317233077037,2.6253937965130025,0.40313966867986534
-1707.680172022019,600,0,-0.11807119352594897,2.9953639104060343,2.482323916505694
-1931.250055435789,600,0,-1.9004856669358152,2.7679077008681237,0.12605959013478296
