rollout_index,seed,total_reward,steps,success,tip_height,theta1_error_deg,theta2_error_deg,success_counter
1,30042,299.0895396320853,600,0,-0.40249299385435927,113.80677397149933,156.25971628443682,0
2,30043,65.0050747048305,600,0,-6.304817035229782e-05,179.47423573230864,178.64333977452478,0
3,30044,74.69047248406152,600,0,-0.23386929378131294,60.605475098305185,75.8375733082992,0
