episode_return,episode_length,episode_success,final_tip_height,final_theta1_error,final_theta2_error
-762.1783447265625,600,0,-1.767901511758947,2.61817881315952,0.0764964599287754
-824.7386474609375,600,0,-1.7567952177251345,2.648572332280393,0.9965439022795477
-715.8253173828125,600,0,0.14156351823170843,0.9875991120190797,2.979897999455943
-722.779052734375,600,0,-0.3509917819647035,1.8162861184656571,2.7879317124677305
-751.287353515625,600,0,-1.8981822170607083,2.933922138292771,0.1958907039453177
-790.3621215820312,600,0,-1.6790185643266584,2.3587903383148103,1.0280442005725468
-761.156982421875,600,0,-0.5467306723833103,1.4407478328340533,2.5287597926957814
-685.4859619140625,600,0,-1.282791572734837,1.9582351763791563,0.7438779561092604
-814.4412231445312,600,0,-1.201150785824318,1.8366002414948057,1.6576278947362084
-770.8021850585938,600,0,-1.453903866907802,2.352089253035513,1.5126822084880702
-658.055419921875,600,0,-0.8263959980956722,3.082647633902008,1.802466154722067
-659.80126953125,600,0,-0.27080406924068956,0.7731245834644653,2.5327496359868396
-785.8425903320312,600,0,-1.5959073383020597,2.6153568759983976,1.2769476479968822
-695.4995727539062,600,0,-1.305058931396637,1.8844361038976674,1.173898393375159
-767.5916748046875,600,0,-1.782736035553731,2.645048899049709,0.9394692572429111
-810.5086059570312,600,0,-1.8232950395041279,3.020649116869758,0.46966888014041086
-763.2384643554688,600,0,-0.7654879070441344,1.8896676576946092,2.3537230844738155
-558.6126708984375,600,0,0.6660283211497297,1.8435386461514458,2.2049414844328785
-742.3663940429688,600,0,-0.931212509813811,2.9039920346447987,1.3738999546205897
-755.5885009765625,600,0,-0.6403265965787526,2.2672386377966296,2.4463162916402474
-796.6893920898438,600,0,-1.2750287975095151,2.007145477218039,1.6846943989194307
-816.1761474609375,600,0,-1.4773996061938768,2.7359265126419343,1.3838138839003764
-780.2322998046875,600,0,-1.018005117059657,1.6040535400189735,1.7123811225134695
-736.5523071289062,600,0,-0.34061492642887115,2.9493160938810536,2.4588170449073643
-374.5685119628906,600,0,-0.06704314255696164,0.45304810602017564,2.9494366830790226
-257.7867126464844,600,0,1.812110035213192,0.4754781900221543,0.08058096967305017
-192.17225646972656,600,0,1.2092202145904571,1.3065559043348127,1.6303217387558417
-333.3082275390625,600,0,-1.345274665318089,1.9396013135490218,1.027262045341603
-341.6573486328125,600,0,1.191085230592158,0.9422585355239841,0.018872316217352747
-143.7750701904297,600,0,-0.9594908157354627,1.5472800628970127,1.4096862329862303
39.729305267333984,600,0,-0.5839531493719795,2.61913108732202,2.3798034211652688
-273.29071044921875,600,0,0.7618720824479943,1.8112322959606484,1.8131507965494047
-372.59478759765625,600,0,0.5539831663156386,1.4664411322017408,0.3622055405036414
-303.0624694824219,600,0,0.43191794908824543,2.1502579343141868,1.9473834673560777
-332.33062744140625,600,0,-0.1388749845657481,3.116087696320298,2.582130413737526
-340.19244384765625,600,0,0.27903162351974353,2.139016082434517,1.5246933736317927
-369.7860107421875,600,0,-0.015796340592768132,3.0596725522954906,3.027495664130651
-126.82030487060547,600,0,1.494595562756947,1.0527800661517404,1.0192502540428978
-94.73503875732422,600,0,1.5461351818366371,0.8670676429696824,0.41391222721098986
-152.45069885253906,600,0,0.06054330746600467,2.291597122933661,3.0578273830612472
-294.9228515625,600,0,1.486600912481113,1.060063950773376,1.1266402084151301
