rollout_index,seed,total_reward,episode_length,final_hull_angle,mean_abs_action,success
1,20042,162.97305297851562,1595,-1.7404810190200806,0.4461459280321591,0
2,20043,285.5549011230469,1594,-0.0684392899274826,0.43838364124260704,1
3,20044,287.1710205078125,1579,0.15469737350940704,0.43133329462786124,1
