rollout_index,seed,total_reward,episode_length,final_hull_angle,mean_abs_action,success
1,1042,-81.6220703125,1600,0.08834514766931534,0.5009008147846907,0
2,1043,-101.10517883300781,104,-0.7527572512626648,0.48359497994757616,0
3,1044,-116.37214660644531,67,1.8084849119186401,0.4885280650498262,0
