reward,episode_length,success,final_hull_angle,mean_abs_action
-81.456024,1600,0,0.11874110251665115,0.5012493190029637
-116.89225,68,0,1.2861289978027344,0.509282852139543
-114.84081,106,0,0.9908812046051025,0.5061381034693628
-81.74177,1600,0,0.09346790611743927,0.5018571439292282
-136.35843,256,0,1.7222713232040405,0.4943952207395341
-80.431725,1600,0,0.0905454084277153,0.5000294161122292
-105.62572,85,0,-0.9672436118125916,0.493655485440703
-115.39483,91,0,1.7887351512908936,0.49795396887994076
-101.723564,71,0,-0.5931854248046875,0.5100286044705082
-111.16399,48,0,1.0772778987884521,0.5210681824634472
-84.36014,1600,0,0.150457963347435,0.49751533718779684
-85.28103,1600,0,0.16911937296390533,0.5051673445524648
-101.79755,75,0,-0.7250961065292358,0.4959996179739634
-115.95237,56,0,2.3531088829040527,0.49860650088105885
-102.49188,87,0,-0.47170665860176086,0.48634779076466617
-117.25955,85,0,2.5817034244537354,0.5014707326889039
-97.82931,105,0,-0.6360203623771667,0.50210688156741
-72.56421,1600,0,0.09997600317001343,0.5008976250095293
-114.006035,58,0,1.6166332960128784,0.5019525371748825
-106.0595,96,0,-1.2089183330535889,0.5015943758189678
-102.62539,80,0,-0.6747457981109619,0.5201986934989691
-103.27774,153,0,-1.0882035493850708,0.4945028973560707
-122.65805,139,0,2.445859909057617,0.4941797590941834
-81.1864,1600,0,0.15047700703144073,0.49822784412186594
-98.48128,78,0,-0.5766482353210449,0.4741147924692203
-104.77504,153,0,-0.7907941341400146,0.5002573385737301
-108.07086,46,0,-1.5233678817749023,0.4932514289798944
-118.290306,87,0,1.4617137908935547,0.5005525045696346
-101.06574,73,0,-0.8042328953742981,0.5045361637252651
-109.46246,53,0,0.8409472107887268,0.5024011123855159
-110.872406,55,0,1.1315213441848755,0.4876821341839704
-84.27231,1600,0,0.08664198219776154,0.500242929738015
-119.39145,83,0,1.545440673828125,0.4980223943670112
-119.69075,80,0,2.0280027389526367,0.46958591770380737
-101.06756,107,0,-0.8626822233200073,0.48400502394292955
-78.92764,1600,0,0.09679234772920609,0.5004161326820031
-78.20098,1600,0,0.11647246778011322,0.4966588975954801
-110.39262,54,0,0.9556880593299866,0.4463002284367879
-117.876884,104,0,2.247730016708374,0.4704861850119554
-83.47974,1600,0,0.1307927668094635,0.4928526056627743
-77.980804,1600,0,0.12668196856975555,0.5023303517047316
-81.16342,1600,0,0.1666765809059143,0.4967872161697596
-115.49178,74,0,1.951101541519165,0.46183846991609884
-111.56611,47,0,1.8195345401763916,0.5089970830273121
-85.71469,1600,0,0.20209936797618866,0.5008034826256335
-79.054115,1600,0,0.08251485973596573,0.4993812198471278
-77.163605,1600,0,0.10481981188058853,0.4985605148691684
-77.285385,1600,0,0.08077303320169449,0.49781879962654785
-100.56444,101,0,-0.7454665899276733,0.519891279611257
-107.82135,103,0,-1.5460416078567505,0.5133539389059382
-121.48877,69,0,2.607008457183838,0.5113733984206034
-106.52473,75,0,-1.5905709266662598,0.5119452021519343
-104.952835,86,0,-1.2216066122055054,0.47449895626930305
-89.375786,1600,0,0.10834980010986328,0.49984459423460065
-122.02869,82,0,2.581824541091919,0.532805653970416
-103.69635,68,0,-1.2791895866394043,0.5060031304464621
-115.0522,58,0,1.8806134462356567,0.521815254642018
-76.32869,1600,0,0.09085585922002792,0.49426544723799454
-82.93363,1600,0,0.1869727075099945,0.500104695558548
-121.222305,86,0,2.785952568054199,0.47947025714918623
-102.82691,73,0,-0.9831228852272034,0.5042673884189293
-79.6913,1600,0,0.2762147784233093,0.5033156619453802
-119.840775,85,0,2.140456438064575,0.5109984103371116
-100.67607,96,0,-0.8236765265464783,0.49637039719770354
-82.200455,1600,0,0.2525697946548462,0.5024938758555799
-119.203705,71,0,2.536829948425293,0.5053451953219695
-102.67405,80,0,-1.1770119667053223,0.5026349809020758
-113.86498,68,0,1.4967540502548218,0.4906379398615921
-106.20815,79,0,-1.3825526237487793,0.5223654057783417
-80.941666,1600,0,0.0553404875099659,0.5001501614321023
-98.83513,71,0,-0.5823922753334045,0.47304991643193744
-119.15681,125,0,1.970849633216858,0.4786867555975914
-116.59599,72,0,2.421769857406616,0.4805914680990908
-83.297226,1600,0,0.10018914937973022,0.5013052913174033
-107.39264,38,0,0.8586235046386719,0.5117095900993598
-109.09649,70,0,0.9237583875656128,0.46684607224805014
-110.68906,56,0,0.7947652339935303,0.5003931211041552
-97.31815,1600,0,0.13055166602134705,0.49600493770558385
-98.312675,105,0,-1.1124972105026245,0.5281380082879747
-94.85285,1600,0,0.878775417804718,0.5003307740902528
-123.0815,85,0,2.7078239917755127,0.5013087432174121
-97.99728,73,0,-0.46522778272628784,0.5322753244066891
-104.768684,82,0,-1.57061767578125,0.46441577356763003
-119.95243,108,0,2.110710859298706,0.4807313337094254
-82.90259,1600,0,0.07748299837112427,0.5005076350877061
-99.70684,61,0,-0.5160359740257263,0.4704701910253431
-111.236565,51,0,1.2719333171844482,0.48603039921498764
-99.960846,72,0,-0.6324272751808167,0.5326088820066717
-78.872856,1600,0,0.08541945368051529,0.4992687502317131
-86.26134,1600,0,0.09557115286588669,0.5043883959529921
-113.70492,57,0,1.5727074146270752,0.5308733127619091
-100.951935,75,0,-0.7338119149208069,0.49034732063611347
-99.63529,70,0,-0.6048024892807007,0.485638105230672
-93.21721,1600,0,0.45628491044044495,0.49744673058390615
-110.22536,58,0,1.031687617301941,0.49214301643700437
-119.36394,71,0,2.642327308654785,0.4895770268540987
-100.72294,79,0,-0.6730780005455017,0.5020923735220221
-73.73024,1600,0,0.172466441988945,0.5005956532014534
-100.33271,79,0,-0.9239338040351868,0.49394535829749286
