episode_return,episode_length,success
-6.017191410064697,1600,0
-5.380248069763184,1600,0
-3.4738237857818604,1600,0
7.006158351898193,1600,0
7.116705894470215,1600,0
-9.316462516784668,1600,0
-8.149888038635254,1600,0
13.923391342163086,1600,0
16.775609970092773,1600,0
23.565292358398438,1600,0
13.084060668945312,1600,0
17.843442916870117,1600,0
15.44405746459961,1600,0
-4.41341495513916,1600,0
12.2916898727417,1600,0
11.782240867614746,1600,0
-0.446891188621521,1600,0
25.381549835205078,1600,0
28.035511016845703,1600,0
34.25827407836914,1600,0
28.43211555480957,1600,0
11.013067245483398,1600,0
14.876241683959961,1600,0
31.55600357055664,1600,0
28.237125396728516,1600,0
31.49746322631836,1600,0
38.75440216064453,1600,0
28.151304244995117,1600,0
42.50927734375,1600,0
37.97195816040039,1600,0
21.681442260742188,1600,0
32.02832794189453,1600,0
6.8259429931640625,1600,0
5.300276279449463,1600,0
17.08879852294922,1600,0
20.599754333496094,1600,0
31.31941795349121,1600,0
36.54433822631836,1600,0
40.328025817871094,1600,0
47.96458053588867,1600,0
35.52334976196289,1600,0
37.18214797973633,1600,0
-70.51504516601562,1208,0
38.43471908569336,1600,0
47.67684555053711,1600,0
54.78202438354492,1600,0
48.06697463989258,1600,0
43.6894645690918,1600,0
52.23272705078125,1600,0
38.808349609375,1600,0
28.220745086669922,1600,0
36.958011627197266,1600,0
53.891357421875,1600,0
33.219661712646484,1600,0
54.50102996826172,1600,0
34.4764518737793,1600,0
67.85641479492188,1600,0
39.551570892333984,1600,0
54.274349212646484,1600,0
48.63229751586914,1600,0
-95.59940338134766,1557,0
44.324649810791016,1600,0
56.22752380371094,1600,0
47.12847137451172,1600,0
-89.28439331054688,251,0
57.177406311035156,1600,0
-64.94124603271484,955,0
-51.85837173461914,916,0
-42.388343811035156,1475,0
66.19841766357422,1600,0
57.85798263549805,1600,0
51.67934036254883,1600,0
72.3591537475586,1600,0
75.89090728759766,1600,0
75.34601593017578,1600,0
72.79903411865234,1600,0
71.9312744140625,1600,0
69.0757064819336,1600,0
66.36815643310547,1600,0
78.78203582763672,1600,0
66.33010864257812,1600,0
81.29608917236328,1600,0
61.94586181640625,1600,0
66.87242126464844,1600,0
48.27183532714844,1600,0
55.33139419555664,1600,0
-118.55303955078125,96,0
69.649169921875,1600,0
77.96550750732422,1600,0
81.95235443115234,1600,0
115.68612670898438,1600,0
-118.06205749511719,62,0
-102.42814636230469,118,0
65.90999603271484,1600,0
-58.3668212890625,932,0
-38.795475006103516,960,0
-98.42693328857422,134,0
100.48192596435547,1600,0
94.92648315429688,1600,0
70.79613494873047,1600,0
-37.946929931640625,1256,0
73.10362243652344,1600,0
90.33126068115234,1600,0
101.3831787109375,1600,0
94.33560943603516,1600,0
104.15132904052734,1600,0
-43.706787109375,1505,0
94.82951354980469,1600,0
88.24697875976562,1600,0
99.20503234863281,1600,0
120.07191467285156,1600,0
-126.7071762084961,72,0
87.37964630126953,1600,0
-134.37286376953125,133,0
103.1536636352539,1600,0
70.58430480957031,1600,0
126.88887786865234,1600,0
-82.74182891845703,421,0
99.41329193115234,1600,0
96.39958190917969,1600,0
102.92961120605469,1600,0
91.90972137451172,1600,0
-70.99705505371094,827,0
102.62346649169922,1600,0
79.42771911621094,1600,0
82.35926055908203,1600,0
114.07438659667969,1600,0
-120.53028106689453,78,0
108.35039520263672,1600,0
110.36370849609375,1600,0
90.80213928222656,1600,0
109.8714370727539,1600,0
87.35047912597656,1600,0
87.99836730957031,1600,0
111.75296020507812,1600,0
95.4985580444336,1600,0
119.37199401855469,1600,0
79.24019622802734,1600,0
106.44755554199219,1600,0
-102.2258071899414,201,0
-114.6583023071289,73,0
94.59190368652344,1600,0
96.73455047607422,1600,0
-24.730194091796875,1301,0
-117.87898254394531,168,0
73.20352935791016,1600,0
