rollout_index,seed,total_reward,steps,success,final_position,max_position
1,1042,-200.0,200,0,-0.5227683186531067,-0.45502787828445435
2,1043,-200.0,200,0,-0.6246780157089233,-0.3960975110530853
3,1044,-200.0,200,0,-0.5254427194595337,-0.3075883090496063
