rollout_index,seed,total_reward,steps,success,final_position,max_position
1,20042,-90.0,90,1,0.5111423134803772,0.5111423134803772
2,20043,-102.0,102,1,0.5059773325920105,0.5059773325920105
3,20044,-102.0,102,1,0.5047301650047302,0.5047301650047302
