episode_return,episode_length,episode_success,final_position
-200.0,200,0,-0.5122243165969849
-200.0,200,0,-0.42828041315078735
-200.0,200,0,-0.46052640676498413
-200.0,200,0,-0.581164538860321
-200.0,200,0,-0.4048755168914795
-200.0,200,0,-0.4477720558643341
-200.0,200,0,-0.44278714060783386
-200.0,200,0,-0.5743772983551025
-200.0,200,0,-0.5099228024482727
-200.0,200,0,-0.5258404016494751
-200.0,200,0,-0.41464701294898987
-200.0,200,0,-0.4712269902229309
-200.0,200,0,-0.43544766306877136
-200.0,200,0,-0.5113171339035034
-200.0,200,0,-0.5545522570610046
-200.0,200,0,-0.48908305168151855
-200.0,200,0,-0.5872365236282349
-200.0,200,0,-0.43447375297546387
-200.0,200,0,-0.47366711497306824
-200.0,200,0,-0.4483824372291565
-200.0,200,0,-0.5290948152542114
-200.0,200,0,-0.40586039423942566
-200.0,200,0,-0.4213757812976837
-200.0,200,0,-0.4443233013153076
-200.0,200,0,-0.5610722303390503
-200.0,200,0,-0.5066558122634888
-200.0,200,0,-0.5912392735481262
-200.0,200,0,-0.5691421031951904
-200.0,200,0,-0.46339020133018494
-200.0,200,0,-0.4510475695133209
-200.0,200,0,-0.4064980447292328
-200.0,200,0,-0.5348349213600159
-200.0,200,0,-0.5259080529212952
-200.0,200,0,-0.5060888528823853
-200.0,200,0,-0.5621057152748108
-200.0,200,0,-0.5740156769752502
-200.0,200,0,-0.5048590302467346
-200.0,200,0,-0.5546181201934814
-200.0,200,0,-0.46603721380233765
-200.0,200,0,-0.5125696063041687
-200.0,200,0,-0.4334643483161926
-200.0,200,0,-0.45994699001312256
-200.0,200,0,-0.5375266671180725
-200.0,200,0,-0.4335480332374573
-200.0,200,0,-0.4390471279621124
-200.0,200,0,-0.5225043296813965
-200.0,200,0,-0.5423343777656555
-200.0,200,0,-0.46350088715553284
-200.0,200,0,-0.5720494985580444
-200.0,200,0,-0.5600183606147766
-200.0,200,0,-0.5985275506973267
-200.0,200,0,-0.4426151216030121
-200.0,200,0,-0.4670298397541046
-200.0,200,0,-0.4589669108390808
-200.0,200,0,-0.4438541829586029
-200.0,200,0,-0.5082168579101562
-200.0,200,0,-0.4862517714500427
-200.0,200,0,-0.5720406174659729
-200.0,200,0,-0.5770939588546753
-200.0,200,0,-0.46631941199302673
-200.0,200,0,-0.5057807564735413
-200.0,200,0,-0.4869527816772461
-200.0,200,0,-0.4470002353191376
-200.0,200,0,-0.4730563461780548
-200.0,200,0,-0.48928412795066833
-200.0,200,0,-0.48815855383872986
-200.0,200,0,-0.5392099618911743
-200.0,200,0,-0.5938364267349243
-200.0,200,0,-0.5126565098762512
-200.0,200,0,-0.5570830702781677
-200.0,200,0,-0.5182942748069763
-200.0,200,0,-0.4293193817138672
-200.0,200,0,-0.5532121062278748
-200.0,200,0,-0.5883394479751587
-200.0,200,0,-0.5437232255935669
-200.0,200,0,-0.5412812232971191
-200.0,200,0,-0.4676167070865631
-200.0,200,0,-0.48859357833862305
-200.0,200,0,-0.4432203471660614
-200.0,200,0,-0.46713727712631226
-200.0,200,0,-0.518722653388977
-200.0,200,0,-0.43719592690467834
-200.0,200,0,-0.5666053891181946
-200.0,200,0,-0.5954576134681702
-200.0,200,0,-0.5819904208183289
-200.0,200,0,-0.4555281400680542
-200.0,200,0,-0.5076245665550232
-200.0,200,0,-0.5677456259727478
-200.0,200,0,-0.49979105591773987
-200.0,200,0,-0.5695375800132751
-200.0,200,0,-0.46073591709136963
-200.0,200,0,-0.5107687711715698
-200.0,200,0,-0.5237957835197449
-200.0,200,0,-0.5396975874900818
-200.0,200,0,-0.47394347190856934
-200.0,200,0,-0.5276374816894531
-200.0,200,0,-0.5824699997901917
-200.0,200,0,-0.5763987898826599
-200.0,200,0,-0.40762045979499817
-200.0,200,0,-0.4182838499546051
-200.0,200,0,-0.4600585699081421
-200.0,200,0,-0.5468260049819946
-200.0,200,0,-0.4061647355556488
-200.0,200,0,-0.44424980878829956
-200.0,200,0,-0.4566219747066498
-200.0,200,0,-0.5101277232170105
-200.0,200,0,-0.5455517172813416
-200.0,200,0,-0.5807217955589294
-200.0,200,0,-0.41947951912879944
-200.0,200,0,-0.5088447332382202
-200.0,200,0,-0.5595273375511169
-200.0,200,0,-0.5388087034225464
-200.0,200,0,-0.48415607213974
-200.0,200,0,-0.5646454691886902
-200.0,200,0,-0.42867714166641235
-200.0,200,0,-0.44829609990119934
-200.0,200,0,-0.45610740780830383
-200.0,200,0,-0.513581395149231
-200.0,200,0,-0.47453823685646057
-200.0,200,0,-0.4831804037094116
-200.0,200,0,-0.47003066539764404
-200.0,200,0,-0.5831111073493958
-200.0,200,0,-0.5168384909629822
-200.0,200,0,-0.591677188873291
-200.0,200,0,-0.5012018084526062
-200.0,200,0,-0.5340277552604675
-200.0,200,0,-0.5710951685905457
-200.0,200,0,-0.579319417476654
-200.0,200,0,-0.4824710786342621
-200.0,200,0,-0.5658814311027527
-200.0,200,0,-0.41497597098350525
-200.0,200,0,-0.48378777503967285
-200.0,200,0,-0.5306260585784912
-200.0,200,0,-0.4818168878555298
-200.0,200,0,-0.5954392552375793
-200.0,200,0,-0.4082881510257721
-200.0,200,0,-0.5035393238067627
-200.0,200,0,-0.44345295429229736
-200.0,200,0,-0.5834540128707886
-200.0,200,0,-0.5026683211326599
-200.0,200,0,-0.5018585920333862
-200.0,200,0,-0.4124346971511841
-200.0,200,0,-0.48565438389778137
-200.0,200,0,-0.5053021311759949
-200.0,200,0,-0.5466048717498779
-200.0,200,0,-0.5336862206459045
-200.0,200,0,-0.49586552381515503
-200.0,200,0,-0.5122177004814148
-200.0,200,0,-0.5956775546073914
-200.0,200,0,-0.4347416162490845
-200.0,200,0,-0.4207678437232971
-200.0,200,0,-0.5719501972198486
-200.0,200,0,-0.48919278383255005
-200.0,200,0,-0.5782848596572876
-200.0,200,0,-0.4655519723892212
-200.0,200,0,-0.5437532663345337
-200.0,200,0,-0.4681154787540436
-200.0,200,0,-0.45460107922554016
-200.0,200,0,-0.44627049565315247
-200.0,200,0,-0.5784518122673035
-200.0,200,0,-0.4167976379394531
-200.0,200,0,-0.5539572238922119
-200.0,200,0,-0.5925174951553345
-200.0,200,0,-0.48902949690818787
-200.0,200,0,-0.5258155465126038
-200.0,200,0,-0.4340420365333557
-200.0,200,0,-0.4383496940135956
-200.0,200,0,-0.5365722179412842
-200.0,200,0,-0.4094201326370239
-200.0,200,0,-0.5418164134025574
-200.0,200,0,-0.49698856472969055
-200.0,200,0,-0.5488069653511047
-200.0,200,0,-0.41279128193855286
-200.0,200,0,-0.5670784115791321
-200.0,200,0,-0.5910179018974304
-200.0,200,0,-0.512980580329895
-200.0,200,0,-0.4015249013900757
-200.0,200,0,-0.4216645359992981
-200.0,200,0,-0.4502784013748169
-200.0,200,0,-0.42184150218963623
-200.0,200,0,-0.4213106632232666
-200.0,200,0,-0.49622833728790283
-200.0,200,0,-0.5368142127990723
-200.0,200,0,-0.44559749960899353
-200.0,200,0,-0.46766775846481323
-200.0,200,0,-0.5252684354782104
-200.0,200,0,-0.5811066627502441
-200.0,200,0,-0.45064207911491394
-200.0,200,0,-0.5475078821182251
-200.0,200,0,-0.4126373827457428
-200.0,200,0,-0.5518059134483337
-200.0,200,0,-0.5754483938217163
-200.0,200,0,-0.43377745151519775
-200.0,200,0,-0.5693431496620178
-200.0,200,0,-0.5641463398933411
