reward,episode_length,success,final_position,max_position
-200.0,200,0,-0.7846575975418091,-0.20216847956180573
-200.0,200,0,-0.252472460269928,-0.252472460269928
-200.0,200,0,-0.49591314792633057,-0.24127072095870972
-200.0,200,0,-0.6816091537475586,-0.34889864921569824
-200.0,200,0,-0.46343994140625,-0.27018797397613525
-200.0,200,0,-0.5651300549507141,-0.41561034321784973
-200.0,200,0,-0.49972835183143616,-0.4773810803890228
-200.0,200,0,-0.6119171977043152,-0.4239657521247864
-200.0,200,0,-0.5172221660614014,-0.4333754777908325
-200.0,200,0,-0.5743016600608826,-0.3076499402523041
-200.0,200,0,-0.3667943477630615,-0.3667943477630615
-200.0,200,0,-0.49937501549720764,-0.48408403992652893
-200.0,200,0,-0.5581626892089844,-0.407844215631485
-200.0,200,0,-0.5277794003486633,-0.41445812582969666
-200.0,200,0,-0.5298498272895813,-0.3823569715023041
-200.0,200,0,-0.578408420085907,-0.43869754672050476
-200.0,200,0,-0.5934575200080872,-0.351864755153656
-200.0,200,0,-0.6692320108413696,-0.36397436261177063
-200.0,200,0,-0.5900846719741821,-0.4222654104232788
-200.0,200,0,-0.5108405351638794,-0.4158029556274414
-200.0,200,0,-0.44195225834846497,-0.3502539098262787
-200.0,200,0,-0.5175492763519287,-0.41012856364250183
-200.0,200,0,-0.652984619140625,-0.22393634915351868
-200.0,200,0,-0.5287288427352905,-0.4612419009208679
-200.0,200,0,-0.40654659271240234,-0.33815935254096985
-200.0,200,0,-0.4258004128932953,-0.36303097009658813
-200.0,200,0,-0.5349225997924805,-0.4182940125465393
-200.0,200,0,-0.28969866037368774,-0.28828001022338867
-200.0,200,0,-0.6029804944992065,-0.4356875717639923
-200.0,200,0,-0.4442664682865143,-0.43972882628440857
-200.0,200,0,-0.5608556866645813,-0.43025827407836914
-200.0,200,0,-0.6585041880607605,-0.40739917755126953
-200.0,200,0,-0.4321225881576538,-0.42112433910369873
-200.0,200,0,-0.4455118477344513,-0.38737425208091736
-200.0,200,0,-0.6960858106613159,-0.2740021347999573
-200.0,200,0,-0.4494962692260742,-0.2776811718940735
-200.0,200,0,-0.6367326974868774,-0.3862696886062622
-200.0,200,0,-0.5872882008552551,-0.4016842842102051
-200.0,200,0,-0.6192992329597473,-0.3315221667289734
-200.0,200,0,-0.4480404555797577,-0.37327924370765686
-200.0,200,0,-0.7501578330993652,-0.2874222695827484
-200.0,200,0,-0.4780310392379761,-0.39122018218040466
-200.0,200,0,-0.534939169883728,-0.4241902530193329
-200.0,200,0,-0.673690676689148,-0.31716445088386536
-200.0,200,0,-0.7454360127449036,-0.31154969334602356
-200.0,200,0,-0.4839130938053131,-0.44469785690307617
-200.0,200,0,-0.46528565883636475,-0.4545120298862457
-200.0,200,0,-0.6715023517608643,-0.330928772687912
-200.0,200,0,-0.5086473822593689,-0.44570496678352356
-200.0,200,0,-0.6045899987220764,-0.42490798234939575
-200.0,200,0,-0.577916145324707,-0.2977876365184784
-200.0,200,0,-0.6549992561340332,-0.3238448202610016
-200.0,200,0,-0.4781159460544586,-0.39166930317878723
-200.0,200,0,-0.680903971195221,-0.33274713158607483
-200.0,200,0,-0.5233639478683472,-0.3670884966850281
-200.0,200,0,-0.5269873142242432,-0.3505841791629791
-200.0,200,0,-0.2976212799549103,-0.2976212799549103
-200.0,200,0,-0.49742498993873596,-0.46559062600135803
